new_ID	PAIR	PREREQUISITE	TARGET	ID_SENT	AGREEMENT	SENT -1	SENT	SENT +1
286	HOST%SIMPLE_MAIL_TRANSFER_PROTOCOL	HOST	SIMPLE MAIL TRANSFER PROTOCOL	269	2	While many users now rely on their browser or a sophisticated application like Microsoft's Outlook, Apple's Mail, or Mozilla's Thunderbird to read and compose their email, the actual transmission of email messages from one computer to another on the Internet remains the domain of basic network protocols like simple mail transfer protocol.	Simple mail transfer protocol (SMTP) defines a way that two computers on the network may interact when transmitting an email message from one host to the other.	Consider the example case of a mail server mail.skaro.gov sending an email from end user " dalek " to end user " doctor " in the domain tardis.edu.
287	HOST%VIRUS	HOST	VIRUS	606	1	The Computer Emergency Response Team Coordination Center maintains a website at http://www.cert.org where it posts notices of its activities.	A virus is software that infects a computer by inserting itself into programs that already reside in the machine.	Then, when the " host " program is executed, the virus is also executed.
288	HTTPS%SECURE_SOCKET_LAYER	HTTPS	SECURE SOCKET LAYER	689	1	A prime example is the secure version of hypertext transfer protocol, known as HTTPS (hypertext transfer protocol over secure socket layer), which is used by most financial institutions to provide customers with secure internet access to their accounts.	The backbone of hypertext transfer protocol over secure socket layer is the protocol system known as secure sockets layer (SSL), which was originally developed by Netscape to provide secure communication links between Web clients and servers.	Most browsers indicate the use of secure sockets layer by displaying a tiny padlock icon on the computer screen.
289	HYPERLINK%WORLD_WIDE_WEB	HYPERLINK	WORLD WIDE WEB	352	1	His first software for implementing the Web was released in December, 1990.	While this early prototype did not yet support multimedia data, it included the key components of what we now recognize as the world wide web: a hypertext document format for embedding hyperlinks to other documents; a protocol for transferring hypertext across the network, and a server process that supplied hypertext pages upon request.	From this humble beginning, the Web quickly grew to support images, audio and video, and by the mid-1990s had become the dominant application powering the growth of the Internet.
290	HYPERTEXT_DOCUMENT%HYPERTEXT_MARKUP_LANGUAGE	HYPERTEXT DOCUMENT	HYPERTEXT MARKUP LANGUAGE	378	2	The distinction is that a hypertext document also contains special symbols, called tags, that describe how the document should appear on a display screen, what multimedia resources (such as images) should accompany the document, and which items within the document are linked to other documents.	This system of tags is known as hypertext markup language (HTML).	Thus, it is in terms of hypertext markup language that an author of a webpage describes the information that a browser needs in order to present the page on the user's screen and to find any related documents referenced by the current page.
291	HYPERTEXT_DOCUMENT%HYPERTEXT_MARKUP_LANGUAGE_SOURCE_DOCUMENT	HYPERTEXT DOCUMENT	HYPERTEXT MARKUP LANGUAGE SOURCE DOCUMENT	384	1	Note that the tags are delineated by the symbols < and >.	The hypertext markup language source document consists of two sections-a head (surrounded by the < head > and < / head > tags) and a body (surrounded by the < body > and < / body > tags).	The distinction between the head and body of a webpage is similar to that of the head and body of an interoffice memo.
292	HYPERTEXT_DOCUMENT%HYPERTEXT_TRANSFER_PROTOCOL	HYPERTEXT DOCUMENT	HYPERTEXT TRANSFER PROTOCOL	360	2	Its task is to provide access to the documents under its control as requested by clients (browsers).	Hypertext documents are normally transferred between browsers and webservers using a protocol known as the hypertext transfer protocol (HTTP).	In order to locate and retrieve documents on the Web, each document is given a unique address called a uniform resource locator (URL).
293	HYPERTEXT_DOCUMENT%UNIFORM_RESOURCE_LOCATOR	HYPERTEXT DOCUMENT	UNIFORM RESOURCE LOCATOR	361	2	Hypertext documents are normally transferred between browsers and webservers using a protocol known as the hypertext transfer protocol (HTTP).	In order to locate and retrieve documents on the Web, each document is given a unique address called a uniform resource locator (URL).	Each uniform resource locator contains the information needed by a browser to contact the proper server and request the desired document.
294	HYPERTEXT_DOCUMENT%WEBSERVER	HYPERTEXT DOCUMENT	WEBSERVER	358	2	Common Internet browsers include Firefox, Safari, and Internet Explorer.	The webserver resides on a computer containing hypertext documents to be accessed.	Its task is to provide access to the documents under its control as requested by clients (browsers).
295	HYPERTEXT_DOCUMENT%WORLD_WIDE_WEB	HYPERTEXT DOCUMENT	WORLD WIDE WEB	352	2	His first software for implementing the Web was released in December, 1990.	While this early prototype did not yet support multimedia data, it included the key components of what we now recognize as the world wide web: a hypertext document format for embedding hyperlinks to other documents; a protocol for transferring hypertext across the network, and a server process that supplied hypertext pages upon request.	From this humble beginning, the Web quickly grew to support images, audio and video, and by the mid-1990s had become the dominant application powering the growth of the Internet.
296	HYPERTEXT_MARKUP_LANGUAGE_SOURCE_DOCUMENT%ANCHOR	HYPERTEXT MARKUP LANGUAGE SOURCE DOCUMENT	ANCHOR	402	1	Let us suppose that, when the word here is clicked, we want the browser to retrieve and display the page at the uniform resource locator http://crafty.com/demo.html.	To do so, we must first surround the word here in the source version of the page with the tags < a > and < / a >, which are called anchor tags.	Inside the opening anchor tag we insert the parameter href = http://crafty.com/demo.html (as shown in Figure 4.10a) indicating that the hypertext reference (href) associated with the tag is the uniform resource locator following the equal sign (http://crafty.com/demo.html).
