ID	PAIR	PREREQUISITE	TARGET	ID_SENT	AGREEMENT	SENT -1	SENT	SENT +1
290	ROUTER%ADDRESSING_SYSTEM	ROUTER	ADDRESSING SYSTEM	104	3	The reason that routers are so named is that their purpose is to forward messages in their proper directions.	This forwarding process is based on an internetwide addressing system in which all the devices in an internet (including the machines in the original networks and the routers) are assigned unique addresses.	Thus, each machine in one of the original networks has two addresses: its original " local " address within its own network and its internet address.
291	ROUTER%FORWARDING_TABLE	ROUTER	FORWARDING TABLE	108	4	From there it is forwarded in the proper direction.	For this forwarding purpose, each router maintains a forwarding table that contains the router's knowledge about the direction in which messages should be sent depending on their destination addresses.	The " point " at which one network is linked to an internet is often called a gateway because it serves as a passageway between the network and the outside world.
292	ROUTER%GATEWAY	ROUTER	GATEWAY	111	2	Gateways can be found in a variety of forms, and thus the term is used rather loosely.	In many cases a network's gateway is merely the router through which it communicates with the rest of the internet.	In other cases the term gateway may be used to refer to more than just a router.
293	ROUTER%GATEWAY	ROUTER	GATEWAY	113	2	In other cases the term gateway may be used to refer to more than just a router.	For example, in most residential wifi networks that are connected to the Internet, the term gateway refers collectively to both the network's access point and the router connected to the access point because these two devices are normally packaged in a single unit.	Methods of Process Communication
294	ROUTER%HOP_COUNT	ROUTER	HOP COUNT	584	2	Much of the internet protocol standard associated with routing deals with the protocols used for communication among neighboring network layers as they interchange routing information.	An interesting feature associated with forwarding is that each time an internet protocol network layer at a message's origin prepares a packet, it appends a value called a hop count, or time to live, to that packet.	This value is a limit to the number of times the packet should be forwarded as it tries to find its way through the Internet.
295	ROUTER%LINK_LAYER	ROUTER	LINK LAYER	523	2	It is the network layer's job to decide in which direction a packet should be sent at each step along the packet's path through the Internet.	In fact, the combination of the network layer and the link layer below it constitutes the software residing on the Internet routers.	The network layer is in charge of maintaining the router's forwarding table and using that table to determine the direction in which to forward packets.
296	ROUTER%LINK_LAYER	ROUTER	LINK LAYER	525	2	The network layer is in charge of maintaining the router's forwarding table and using that table to determine the direction in which to forward packets.	The link layer at the router is in charge of receiving and transmitting the packets.	Thus, when the network layer at a packet's origin receives the packet from the transport layer, it uses its forwarding table to determine where the packet should be sent to get it started on its journey.
297	ROUTER%NETWORK_LAYER	ROUTER	NETWORK LAYER	523	3	It is the network layer's job to decide in which direction a packet should be sent at each step along the packet's path through the Internet.	In fact, the combination of the network layer and the link layer below it constitutes the software residing on the Internet routers.	The network layer is in charge of maintaining the router's forwarding table and using that table to determine the direction in which to forward packets.
298	ROUTER%NETWORK_LAYER	ROUTER	NETWORK LAYER	524	3	In fact, the combination of the network layer and the link layer below it constitutes the software residing on the Internet routers.	The network layer is in charge of maintaining the router's forwarding table and using that table to determine the direction in which to forward packets.	The link layer at the router is in charge of receiving and transmitting the packets.
299	ROUTER%TIER-2_INTERNET_SERVICE_PROVIDER	ROUTER	TIER-2 INTERNET SERVICE PROVIDER	183	1	Again, these networks tend to be operated by companies in the communications business.	Tier-1 and tier-2 internet service providers are essentially networks of routers that collectively provide the Internet's communication infrastructure.	As such, they can be thought of as the core of the Internet.
